It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   24.739   24.739 mandelbrot_set.py:2(<module>)
        1   23.592   23.592   23.939   23.939 mandelbrot_set.py:9(simple_mandelbrot)
   263661    0.347    0.000    0.347    0.000 {range}
        1    0.005    0.005    0.248    0.248 pyplot.py:19(<module>)
       15    0.020    0.001    0.232    0.015 __init__.py:1(<module>)
        1    0.000    0.000    0.214    0.214 pyplot.py:692(savefig)
        1    0.000    0.000    0.166    0.166 figure.py:1956(savefig)
        1    0.000    0.000    0.166    0.166 backend_bases.py:2107(print_figure)
        1    0.000    0.000    0.165    0.165 backend_agg.py:516(print_png)
        1    0.005    0.005    0.161    0.161 __init__.py:106(<module>)
        1    0.009    0.009    0.154    0.154 __init__.py:101(<module>)
        2    0.000    0.000    0.145    0.073 backend_agg.py:425(draw)
    152/2    0.001    0.000    0.144    0.072 artist.py:47(draw_wrapper)
        2    0.000    0.000    0.144    0.072 figure.py:1456(draw)
      4/2    0.000    0.000    0.143    0.072 image.py:123(_draw_list_compositing_images)
        2    0.000    0.000    0.143    0.072 _base.py:2556(draw)
        1    0.011    0.011    0.124    0.124 colorbar.py:20(<module>)
        4    0.000    0.000    0.114    0.028 axis.py:1182(draw)
        1    0.066    0.066    0.066    0.066 {matplotlib._png.write_png}
        1    0.001    0.001    0.066    0.066 figure.py:12(<module>)
        1    0.003    0.003    0.059    0.059 _subplots.py:1(<module>)
     2254    0.004    0.000    0.054    0.000 re.py:230(_compile)
        1    0.005    0.005    0.054    0.054 contour.py:3(<module>)
      116    0.001    0.000    0.050    0.000 sre_compile.py:567(compile)
      111    0.000    0.000    0.050    0.000 re.py:192(compile)
        1    0.008    0.008    0.049    0.049 _axes.py:1(<module>)
        1    0.000    0.000    0.048    0.048 backend_bases.py:2049(draw_idle)
        1    0.003    0.003    0.045    0.045 rcsetup.py:15(<module>)
        1    0.000    0.000    0.045    0.045 multiarray.py:7(<module>)
        1    0.037    0.037    0.045    0.045 overrides.py:1(<module>)
        8    0.001    0.000    0.042    0.005 axis.py:1020(_update_ticks)
       27    0.000    0.000    0.040    0.001 __init__.py:1122(rc_params_from_file)
        1    0.008    0.008    0.038    0.038 fontconfig_pattern.py:7(<module>)
       36    0.000    0.000    0.037    0.001 axis.py:289(draw)
        1    0.002    0.002    0.037    0.037 text.py:3(<module>)
       80    0.000    0.000    0.036    0.000 axis.py:967(iter_ticks)
        1    0.000    0.000    0.036    0.036 core.py:1(<module>)
      288    0.004    0.000    0.035    0.000 {__import__}
       28    0.001    0.000    0.035    0.001 axis.py:74(__init__)
        1    0.000    0.000    0.034    0.034 core.py:159(load_base_library)
        1    0.000    0.000    0.034    0.034 core.py:191(read_style_directory)
       27    0.006    0.000    0.034    0.001 __init__.py:1044(_rc_params_in_file)
        1    0.004    0.004    0.032    0.032 collections.py:10(<module>)
       13    0.000    0.000    0.031    0.002 six.py:91(__get__)
       11    0.000    0.000    0.030    0.003 six.py:159(_resolve)
       13    0.000    0.000    0.030    0.002 six.py:80(_import_module)
        8    0.000    0.000    0.030    0.004 axis.py:1119(_get_tick_bboxes)
       72    0.001    0.000    0.030    0.000 text.py:887(get_window_extent)
        1    0.004    0.004    0.029    0.029 urllib2.py:76(<module>)
      116    0.001    0.000    0.029    0.000 sre_parse.py:725(parse)
        2    0.007    0.003    0.029    0.014 __init__.py:7(<module>)
     1491    0.003    0.000    0.028    0.000 __init__.py:899(__setitem__)
  345/116    0.002    0.000    0.028    0.000 sre_parse.py:336(_parse_sub)
        1    0.003    0.003    0.027    0.027 pyparsing.py:96(<module>)
  452/123    0.010    0.000    0.027    0.000 sre_parse.py:414(_parse)
        2    0.000    0.000    0.026    0.013 image.py:570(draw)
        2    0.000    0.000    0.025    0.012 image.py:825(make_image)
      108    0.002    0.000    0.025    0.000 text.py:276(_get_layout)
        2    0.002    0.001    0.025    0.012 image.py:275(_make_image)
        1    0.002    0.002    0.024    0.024 textpath.py:3(<module>)
       11    0.000    0.000    0.023    0.002 artist.py:1474(kwdoc)
        1    0.003    0.003    0.022    0.022 inspect.py:25(<module>)
      116    0.000    0.000    0.020    0.000 sre_compile.py:552(_code)
        1    0.000    0.000    0.020    0.020 pyplot.py:3189(imshow)
       50    0.002    0.000    0.020    0.000 text.py:691(draw)
        1    0.005    0.005    0.019    0.019 numeric.py:1(<module>)
       84    0.002    0.000    0.019    0.000 lines.py:290(__init__)
       36    0.000    0.000    0.018    0.001 backend_agg.py:224(get_text_width_height_descent)
       14    0.000    0.000    0.018    0.001 axis.py:1787(_get_tick)
        8    0.000    0.000    0.018    0.002 axis.py:1393(get_major_ticks)
       11    0.001    0.000    0.018    0.002 artist.py:1227(pprint_setters)
        1    0.006    0.006    0.018    0.018 httplib.py:67(<module>)
        1    0.011    0.011    0.018    0.018 mathtext.py:16(<module>)
     1547    0.003    0.000    0.017    0.000 colors.py:145(to_rgba)
        2    0.000    0.000    0.017    0.009 pyplot.py:951(gca)
        2    0.000    0.000    0.017    0.009 figure.py:1798(gca)
        1    0.000    0.000    0.017    0.017 figure.py:1158(add_subplot)
        1    0.000    0.000    0.017    0.017 _subplots.py:25(__init__)
       14    0.000    0.000    0.017    0.001 axis.py:2159(_get_tick)
        1    0.002    0.002    0.017    0.017 cm.py:6(<module>)
        1    0.000    0.000    0.017    0.017 _base.py:423(__init__)
       49    0.000    0.000    0.017    0.000 {map}
       36    0.002    0.000    0.016    0.000 lines.py:731(draw)
  891/116    0.006    0.000    0.015    0.000 sre_compile.py:64(_compile)
        1    0.001    0.001    0.015    0.015 tokenize.py:23(<module>)
       72    0.000    0.000    0.015    0.000 backend_agg.py:275(_get_agg_font)
        1    0.003    0.003    0.015    0.015 dates.py:137(<module>)
        3    0.005    0.002    0.015    0.005 __init__.py:2(<module>)
        8    0.000    0.000    0.015    0.002 ticker.py:1952(__call__)
        8    0.000    0.000    0.015    0.002 ticker.py:1956(tick_values)
        8    0.001    0.000    0.014    0.002 ticker.py:1905(_raw_ticks)
      150    0.001    0.000    0.013    0.000 cm.py:67(_generate_cmap)
        1    0.000    0.000    0.013    0.013 _base.py:1000(cla)
       72    0.000    0.000    0.013    0.000 font_manager.py:1478(findfont)
       36    0.001    0.000    0.013    0.000 backend_agg.py:194(draw_text)
       72    0.002    0.000    0.013    0.000 font_manager.py:1260(findfont)
        1    0.002    0.002    0.013    0.013 _internal.py:6(<module>)
       20    0.010    0.000    0.012    0.001 collections.py:305(namedtuple)
        1    0.000    0.000    0.012    0.012 pyparsing.py:6381(pyparsing_common)
       64    0.002    0.000    0.012    0.000 colors.py:709(from_list)
        1    0.001    0.001    0.011    0.011 _constrained_layout.py:16(<module>)
        2    0.003    0.001    0.011    0.006 __init__.py:45(<module>)
        1    0.003    0.003    0.011    0.011 dist.py:5(<module>)
       72    0.011    0.000    0.011    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.001    0.001    0.011    0.011 utils.py:4(<module>)
        2    0.000    0.000    0.011    0.005 cm.py:208(to_rgba)
        2    0.001    0.000    0.010    0.005 colors.py:460(__call__)
        1    0.002    0.002    0.010    0.010 npyio.py:1(<module>)
       12    0.003    0.000    0.010    0.001 artist.py:1149(_get_setters_and_targets)
        1    0.004    0.004    0.010    0.010 legend.py:22(<module>)
        2    0.000    0.000    0.010    0.005 axis.py:1896(_update_label_position)
      633    0.004    0.000    0.010    0.000 colors.py:179(_to_rgba_no_colorcycle)
        1    0.002    0.002    0.010    0.010 font_manager.py:21(<module>)
19854/19850    0.006    0.000    0.010    0.000 {isinstance}
        1    0.003    0.003    0.009    0.009 tempfile.py:18(<module>)
        2    0.003    0.001    0.009    0.005 __init__.py:3(<module>)
       18    0.000    0.000    0.009    0.001 rcsetup.py:807(validate_cycler)
       96    0.001    0.000    0.009    0.000 functools_lru_cache.py:131(wrapper)
      456    0.001    0.000    0.009    0.000 rcsetup.py:375(validate_color)
        2    0.000    0.000    0.009    0.004 axis.py:1877(_get_tick_boxes_siblings)
     1221    0.002    0.000    0.008    0.000 {any}
